Source,Target,Type,Weight
936,1,Directed,1
768,1,Directed,1
933,1,Directed,1
3485,1,Directed,1
1044,1,Directed,1
1,2,Directed,1
1,3,Directed,1
1,4,Directed,1
1,5,Directed,1
191,10,Directed,1
191,11,Directed,1
10,12,Directed,1
10,13,Directed,1
1811,13,Directed,1
1938,13,Directed,1
1142,13,Directed,1
197,13,Directed,1
10,14,Directed,1
4694,14,Directed,1
2760,22,Directed,1
2812,23,Directed,1
2760,23,Directed,1
2743,24,Directed,1
2785,25,Directed,1
2760,25,Directed,1
2743,26,Directed,1
22,30,Directed,1
540,31,Directed,1
925,31,Directed,1
22,31,Directed,1
22,32,Directed,1
937,33,Directed,1
2447,33,Directed,1
2446,33,Directed,1
22,33,Directed,1
2436,33,Directed,1
40,33,Directed,1
2435,33,Directed,1
2761,34,Directed,1
22,34,Directed,1
2761,35,Directed,1
22,35,Directed,1
26,36,Directed,1
24,36,Directed,1
26,37,Directed,1
2644,37,Directed,1
28,37,Directed,1
24,37,Directed,1
23,38,Directed,1
23,39,Directed,1
2744,39,Directed,1
23,40,Directed,1
23,41,Directed,1
23,42,Directed,1
2744,42,Directed,1
2747,42,Directed,1
26,43,Directed,1
26,44,Directed,1
27,45,Directed,1
26,45,Directed,1
24,45,Directed,1
26,46,Directed,1
4698,47,Directed,1
4699,47,Directed,1
22,47,Directed,1
26,49,Directed,1
24,50,Directed,1
824,50,Directed,1
26,50,Directed,1
2747,50,Directed,1
3665,50,Directed,1
26,51,Directed,1
24,51,Directed,1
26,52,Directed,1
24,52,Directed,1
26,53,Directed,1
26,54,Directed,1
24,55,Directed,1
26,55,Directed,1
2012,55,Directed,1
2005,55,Directed,1
6266,55,Directed,1
27,56,Directed,1
22,56,Directed,1
28,56,Directed,1
24,56,Directed,1
26,56,Directed,1
23,56,Directed,1
2747,56,Directed,1
3665,56,Directed,1
1325,57,Directed,1
1327,57,Directed,1
30,58,Directed,1
30,59,Directed,1
4703,60,Directed,1
22,60,Directed,1
22,61,Directed,1
46,61,Directed,1
30,61,Directed,1
18,61,Directed,1
26,62,Directed,1
28,62,Directed,1
24,62,Directed,1
39,63,Directed,1
6976,64,Directed,1
23,64,Directed,1
45,64,Directed,1
23,65,Directed,1
39,66,Directed,1
26,66,Directed,1
43,66,Directed,1
2747,66,Directed,1
3665,66,Directed,1
2772,66,Directed,1
26,67,Directed,1
24,67,Directed,1
27,68,Directed,1
1160,68,Directed,1
4706,68,Directed,1
626,68,Directed,1
26,69,Directed,1
51,70,Directed,1
24,71,Directed,1
26,71,Directed,1
43,71,Directed,1
45,71,Directed,1
26,72,Directed,1
24,72,Directed,1
53,73,Directed,1
26,74,Directed,1
26,75,Directed,1
30,77,Directed,1
4716,90,Directed,1
87,90,Directed,1
85,90,Directed,1
89,90,Directed,1
4717,90,Directed,1
4718,90,Directed,1
88,90,Directed,1
86,90,Directed,1
4716,91,Directed,1
87,91,Directed,1
85,91,Directed,1
89,91,Directed,1
4717,91,Directed,1
4718,91,Directed,1
88,91,Directed,1
